"","Lat","Long","Site","Type","Date","Jour","Mois","An","Transect","Repetition","Depart_h","Arrive_h","Obs_h","Nom_sientifique","Genus","Spp","Nom_vernaculari","N_ind","N_juv","N_ad","N_m","N_f","Elevation_obs","Angle","Dis","Hauteur","Comportement","Plante","Support","Commentaire","Photo_ID"
"26","-14.51567",49.42984,"Ambodivoara","Nocturnal",2020-12-17,17,12,2020,"1",1,"18H 36M 0S","21H 30M 0S","20H 9M 0S","Cheirogaleus_crossleyi","Cheirogaleus","crossleyi",NA,"1",0,1,0,0,1246,70,25,18,"","","Liane","",""
"27","-14.51577",49.42986,"Ambodivoara","Nocturnal",2020-12-17,17,12,2020,"1",1,"18H 36M 0S","21H 30M 0S","20H 17M 0S","Cheirogaleus_crossleyi","Cheirogaleus","crossleyi",NA,"1",0,1,0,0,1236,80,30,35,"Alimentation","Epiphyte","","",""
"28","-14.51584",49.42997,"Ambodivoara","Nocturnal",2020-12-17,17,12,2020,"1",1,"18H 36M 0S","21H 30M 0S","20H 26M 0S","Microcebus_mittermeieri","Microcebus","mittermeieri","Tsidy","1",0,1,0,0,1228,20,17,10,"deplacement","","Liane","",""
"29","-14.51711",49.43013,"Ambodivoara","Nocturnal",2020-12-17,17,12,2020,"1",1,"18H 36M 0S","21H 30M 0S","20H 52M 0S","Microcebus_mittermeieri","Microcebus","mittermeieri","Tsidy","1",0,1,0,0,1175,45,18,25,"deplacement","","Liane","",""
"30","-14.518137",49.437816,"Ambodivoara","Nocturnal",2020-12-17,17,12,2020,"5",2,"18H 29M 0S","21H 28M 0S","19H 30M 0S","Lepilemur_seali","Lepilemur","seali",NA,"2",0,2,1,1,1133,30,10,3,"Repos","","Malazovoavihy","",""
"31","-14.51784",49.437673,"Ambodivoara","Nocturnal",2020-12-17,17,12,2020,"5",2,"18H 29M 0S","21H 28M 0S","19H 50M 0S","Cheirogaleus_crossleyi","Cheirogaleus","crossleyi",NA,"1",0,1,0,0,1106,30,18,15,"Alimentation","","Liane","",""
"32","-14.519892",49.436067,"Ambodivoara","Nocturnal",2020-12-17,17,12,2020,"5",2,"18H 29M 0S","21H 28M 0S","20H 33M 0S","Cheirogaleus_crossleyi","Cheirogaleus","crossleyi",NA,"1",0,1,0,0,1007,60,18,16,"deplacement","","Kitata","",""
"33","-14.519627",49.434492,"Ambodivoara","Nocturnal",2020-12-17,17,12,2020,"5",2,"18H 29M 0S","21H 28M 0S","20H 58M 0S","Allocebus_trichotis","Allocebus","trichotis",NA,"1",0,1,0,0,1086,80,12,10,"Repos/Alimentation(insect)","","Voantsilana(Polycias fraxinifolia)","",""
"34","0",0,"Ambodivoara","Diurnal",2020-12-18,18,12,2020,"2",2,"8H 53M 0S","12H 1M 0S",NA,NA,NA,NA,NA,"0",0,0,0,0,NA,NA,NA,NA,NA,NA,"","",""
"35","0",0,"Ambodivoara","Diurnal",2020-12-18,18,12,2020,"2",2,"14H 30M 0S","16H 2M 0S",NA,NA,NA,NA,NA,"0",0,0,0,0,NA,NA,NA,NA,NA,NA,""," 1 trace d'alimentation p. candidus (Alt:1181m)",""
