"","Elevation","CanopyHeight","Ruggedness","ForestCover","ForestLoss","SiteTransect","ForestLossProp","Species"
"45",1121.67988107037,22.7195512820513,22.6064707266446,1014,0,"AmbodivohitraKobahina_2",0,"Propithecus_candidus"
"46",1079.53358925144,21.5975135975136,21.2662751551096,1023,18,"AmbodivohitraKobahina_3",0.0175953079178886,"Propithecus_candidus"
"47",1143.46687451286,22.0644753476612,22.296053372039,1304,2,"Androfiabe_1",0.00153374233128834,"Propithecus_candidus"
"48",1138.71590909091,22.1624615384615,22.6699329257012,1334,2,"Androfiabe_2",0.00149925037481259,"Propithecus_candidus"
"49",1052.20939818632,20.8796296296296,27.4085153027792,1218,62,"Androfiabe_3",0.0509031198686371,"Propithecus_candidus"
"50",1185.0720164609,22.90357439734,31.7892254465892,992,13,"Antanambe_1",0.0131048387096774,"Propithecus_candidus"
"51",1103.05550581916,22.7365010799136,27.1590108566233,1121,34,"Antanambe_2",0.0303300624442462,"Propithecus_candidus"
"52",1150.82072005878,21.3359188544153,33.4877660539026,1334,37,"Antanambe_3",0.027736131934033,"Propithecus_candidus"
"53",1225.07426778243,20.9602032176122,31.9737740765057,871,48,"Befamatra_1",0.0551090700344432,"Propithecus_candidus"
"54",1224.31428571429,23.2698259187621,34.4227724126407,800,33,"Befamatra_2",0.04125,"Propithecus_candidus"
"55",1399.89695550351,23.3645038167939,31.788055438906,848,13,"Befamatra_3",0.0153301886792453,"Propithecus_candidus"
"56",947.054945054945,16.5684210526316,29.7064615625006,766,47,"Betaolana_1",0.0613577023498695,"Propithecus_candidus"
"57",1102.40040444894,23.045643153527,32.750079304914,993,47,"Betaolana_2",0.0473313192346425,"Propithecus_candidus"
"58",1076.87785016287,23.2108393919365,28.7118805363435,1246,40,"Betaolana_3",0.0321027287319422,"Propithecus_candidus"
"59",1158.94137931034,21.1340782122905,25.2165570341308,293,0,"Ambavala_1",0,"Hapalemur_occidentalis"
"60",1111.05213270142,22.2730769230769,26.0508939259425,212,0,"Ambavala_2",0,"Hapalemur_occidentalis"
